# build-tree --verbose=1 --max-leaves=1800 --cluster-thresh=-1 exp/tri3b/treeacc data/lang/phones/roots.int exp/tri3b/questions.qst data/lang/topo exp/tri3b/tree 
# Started at Tue Aug  2 15:57:57 BRT 2016
#
build-tree --verbose=1 --max-leaves=1800 --cluster-thresh=-1 exp/tri3b/treeacc data/lang/phones/roots.int exp/tri3b/questions.qst data/lang/topo exp/tri3b/tree 
LOG (build-tree:main():build-tree.cc:100) Number of separate statistics is 5681
LOG (build-tree:BuildTree():build-tree.cc:159) BuildTree: before building trees, map has 46 leaves.
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 661, low count 83
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 674, low count 73
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 677, low count 87
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 678, low count 93
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 689, low count 75
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 724, low count 83
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 735, low count 50
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 738, low count 74
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 739, low count 76
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 741, low count 98
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 772, low count 68
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 794, low count 66
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 796, low count 97
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 798, low count 45
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 809, low count 53
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 820, low count 66
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 851, low count 74
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 870, low count 99
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 871, low count 60
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 872, low count 84
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 891, low count 78
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 904, low count 55
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 906, low count 96
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 907, low count 97
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 940, low count 74
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 951, low count 95
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 953, low count 77
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 957, low count 92
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 976, low count 91
