# build-tree --verbose=1 --max-leaves=1800 --cluster-thresh=-1 exp/tri3c/treeacc data/lang/phones/roots.int exp/tri3c/questions.qst data/lang/topo exp/tri3c/tree 
# Started at Tue Aug  2 16:03:05 BRT 2016
#
build-tree --verbose=1 --max-leaves=1800 --cluster-thresh=-1 exp/tri3c/treeacc data/lang/phones/roots.int exp/tri3c/questions.qst data/lang/topo exp/tri3c/tree 
LOG (build-tree:main():build-tree.cc:100) Number of separate statistics is 5687
LOG (build-tree:BuildTree():build-tree.cc:159) BuildTree: before building trees, map has 46 leaves.
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 640, low count 82
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 641, low count 92
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 643, low count 69
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 651, low count 60
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 656, low count 83
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 660, low count 72
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 661, low count 69
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 667, low count 99
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 674, low count 73
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 676, low count 86
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 685, low count 60
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 689, low count 57
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 690, low count 88
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 708, low count 79
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 715, low count 84
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 732, low count 50
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 733, low count 90
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 777, low count 40
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 779, low count 55
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 780, low count 46
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 786, low count 65
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 800, low count 76
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 807, low count 62
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 817, low count 67
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 824, low count 69
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 825, low count 66
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 827, low count 99
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 829, low count 78
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 836, low count 85
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 837, low count 49
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 874, low count 72
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 885, low count 93
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 895, low count 32
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 896, low count 99
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 904, low count 76
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 909, low count 54
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 938, low count 61
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 941, low count 76
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 945, low count 55
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 953, low count 96
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 965, low count 45
