# gunzip -c exp/tri3b_ali/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Wed Jun 22 13:56:29 BRT 2016
#
analyze_phone_lengths.py: WARNING: optional-silence sil is seen only 51.9867549669% of the time at utterance end.  This may not be optimal.
Overall, on_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (17,17.0,23) frames.
Overall, j_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (16,16.3,23) frames.
Overall, am_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.5,17) frames.
Overall, oh_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (17,17.1,24) frames.
Overall, z_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.5,16) frames.
The optional-silence phone sil occupies 39.7% of frames overall 
Limiting the stats to the 91.5% of frames not covered by an utterance-[begin/end] phone, optional-silence sil occupies 34.4% of frames.
Assuming 100 frames per second, the alignments represent 1.5 hours of data, or 0.9 hours if sil frames are excluded.
Utterance-internal optional-silences sil comprise 12.6% of utterance-internal phones, with duration (median, mean, 95-percentile) = (40,41.5,73)
# Accounting: time=0 threads=1
# Ended (code 0) at Wed Jun 22 13:56:29 BRT 2016, elapsed time 0 seconds
