# build-tree --verbose=1 --max-leaves=2000 --cluster-thresh=-1 exp/tri1/treeacc data/lang/phones/roots.int exp/tri1/questions.qst data/lang/topo exp/tri1/tree 
# Started at Tue Aug  2 15:50:52 BRT 2016
#
build-tree --verbose=1 --max-leaves=2000 --cluster-thresh=-1 exp/tri1/treeacc data/lang/phones/roots.int exp/tri1/questions.qst data/lang/topo exp/tri1/tree 
LOG (build-tree:main():build-tree.cc:100) Number of separate statistics is 5816
LOG (build-tree:BuildTree():build-tree.cc:159) BuildTree: before building trees, map has 46 leaves.
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 466, low count 76
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 492, low count 50
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 495, low count 70
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 513, low count 71
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 527, low count 59
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 529, low count 97
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 531, low count 72
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 535, low count 90
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 545, low count 55
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 549, low count 44
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 562, low count 39
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 574, low count 73
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 579, low count 90
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 609, low count 66
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 622, low count 53
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 624, low count 74
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 629, low count 98
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 652, low count 86
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 664, low count 79
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 678, low count 93
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 684, low count 32
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 690, low count 77
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 707, low count 59
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 758, low count 53
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 764, low count 90
